id,left,top,right,bottom,row_index,col_index,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6
1,88.45476423,22.391631351,88.46476423,22.401631351,0,0,,,,,,
2,88.45476423,22.381631351,88.46476423,22.391631351,1,0,,,,,,
3,88.45476423,22.371631351,88.46476423,22.381631351,2,0,,,,,,
4,88.45476423,22.361631351,88.46476423,22.371631351,3,0,,,,,,
5,88.45476423,22.351631351,88.46476423,22.361631351,4,0,,,,,,
6,88.45476423,22.341631351,88.46476423,22.351631351,5,0,,,,,,
7,88.45476423,22.331631351,88.46476423,22.341631351,6,0,,,,,,
8,88.45476423,22.321631351,88.46476423,22.331631351,7,0,,,,,,
9,88.45476423,22.311631351,88.46476423,22.321631351,8,0,,,,,,
10,88.45476423,22.301631351,88.46476423,22.311631351,9,0,,,,,,
11,88.45476423,22.291631351,88.46476423,22.301631351,10,0,,,,,,
12,88.45476423,22.281631351,88.46476423,22.291631351,11,0,,,,,,
13,88.45476423,22.271631351,88.46476423,22.281631351,12,0,,,,,,
14,88.45476423,22.261631351,88.46476423,22.271631351,13,0,,,,,,
15,88.45476423,22.251631351,88.46476423,22.261631351,14,0,,,,,,
16,88.45476423,22.241631351,88.46476423,22.251631351,15,0,,,,,,
17,88.45476423,22.231631351,88.46476423,22.241631351,16,0,,,,,,
18,88.45476423,22.221631351,88.46476423,22.231631351,17,0,,,,,,
19,88.45476423,22.211631351,88.46476423,22.221631351,18,0,,,,,,
20,88.45476423,22.201631351,88.46476423,22.211631351,19,0,,,,,,
21,88.45476423,22.191631351,88.46476423,22.201631351,20,0,,,,,,
22,88.45476423,22.181631351,88.46476423,22.191631351,21,0,,,,,,
23,88.45476423,22.171631351,88.46476423,22.181631351,22,0,,,,,,
24,88.45476423,22.161631351,88.46476423,22.171631351,23,0,,,,,,
25,88.46476423,22.391631351,88.47476423,22.401631351,0,1,,,,,,
26,88.46476423,22.381631351,88.47476423,22.391631351,1,1,,,,,,
27,88.46476423,22.371631351,88.47476423,22.381631351,2,1,,,,,,
28,88.46476423,22.361631351,88.47476423,22.371631351,3,1,,,,,,
29,88.46476423,22.351631351,88.47476423,22.361631351,4,1,,,,,,
30,88.46476423,22.341631351,88.47476423,22.351631351,5,1,,,,,,
31,88.46476423,22.331631351,88.47476423,22.341631351,6,1,,,,,,
32,88.46476423,22.321631351,88.47476423,22.331631351,7,1,,,,,,
33,88.46476423,22.311631351,88.47476423,22.321631351,8,1,,,,,,
34,88.46476423,22.301631351,88.47476423,22.311631351,9,1,,,,,,
35,88.46476423,22.291631351,88.47476423,22.301631351,10,1,,,,,,
36,88.46476423,22.281631351,88.47476423,22.291631351,11,1,,,,,,
37,88.46476423,22.271631351,88.47476423,22.281631351,12,1,,,,,,
38,88.46476423,22.261631351,88.47476423,22.271631351,13,1,,,,,,
39,88.46476423,22.251631351,88.47476423,22.261631351,14,1,,,,,,
40,88.46476423,22.241631351,88.47476423,22.251631351,15,1,,,,,,
41,88.46476423,22.231631351,88.47476423,22.241631351,16,1,,,,,,
42,88.46476423,22.221631351,88.47476423,22.231631351,17,1,,,,,,
43,88.46476423,22.211631351,88.47476423,22.221631351,18,1,,,,,,
44,88.46476423,22.201631351,88.47476423,22.211631351,19,1,,,,,,
45,88.46476423,22.191631351,88.47476423,22.201631351,20,1,,,,,,
46,88.46476423,22.181631351,88.47476423,22.191631351,21,1,,,,,,
47,88.46476423,22.171631351,88.47476423,22.181631351,22,1,,,,,,
48,88.46476423,22.161631351,88.47476423,22.171631351,23,1,,,,,,
49,88.47476423,22.391631351,88.48476423,22.401631351,0,2,,,,,,
50,88.47476423,22.381631351,88.48476423,22.391631351,1,2,,,,,,
51,88.47476423,22.371631351,88.48476423,22.381631351,2,2,,,,,,
52,88.47476423,22.361631351,88.48476423,22.371631351,3,2,,,,,,
53,88.47476423,22.351631351,88.48476423,22.361631351,4,2,,,,,,
54,88.47476423,22.341631351,88.48476423,22.351631351,5,2,,,,,,
55,88.47476423,22.331631351,88.48476423,22.341631351,6,2,,,,,,
56,88.47476423,22.321631351,88.48476423,22.331631351,7,2,,,,,,
57,88.47476423,22.311631351,88.48476423,22.321631351,8,2,,,,,,
58,88.47476423,22.301631351,88.48476423,22.311631351,9,2,,,,,,
59,88.47476423,22.291631351,88.48476423,22.301631351,10,2,,,,,,
60,88.47476423,22.281631351,88.48476423,22.291631351,11,2,,,,,,
61,88.47476423,22.271631351,88.48476423,22.281631351,12,2,,,,,,
62,88.47476423,22.261631351,88.48476423,22.271631351,13,2,,,,,,
63,88.47476423,22.251631351,88.48476423,22.261631351,14,2,,,,,,
64,88.47476423,22.241631351,88.48476423,22.251631351,15,2,,,,,,
65,88.47476423,22.231631351,88.48476423,22.241631351,16,2,,,,,,
66,88.47476423,22.221631351,88.48476423,22.231631351,17,2,,,,,,
67,88.47476423,22.211631351,88.48476423,22.221631351,18,2,,,,,,
68,88.47476423,22.201631351,88.48476423,22.211631351,19,2,,,,,,
69,88.47476423,22.191631351,88.48476423,22.201631351,20,2,,,,,,
70,88.47476423,22.181631351,88.48476423,22.191631351,21,2,,,,,,
71,88.47476423,22.171631351,88.48476423,22.181631351,22,2,,,,,,
72,88.47476423,22.161631351,88.48476423,22.171631351,23,2,,,,,,
73,88.48476423,22.391631351,88.49476423,22.401631351,0,3,,,,,,
74,88.48476423,22.381631351,88.49476423,22.391631351,1,3,,,,,,
75,88.48476423,22.371631351,88.49476423,22.381631351,2,3,,,,,,
76,88.48476423,22.361631351,88.49476423,22.371631351,3,3,,,,,,
77,88.48476423,22.351631351,88.49476423,22.361631351,4,3,,,,,,
78,88.48476423,22.341631351,88.49476423,22.351631351,5,3,,,,,,
79,88.48476423,22.331631351,88.49476423,22.341631351,6,3,,,,,,
80,88.48476423,22.321631351,88.49476423,22.331631351,7,3,,,,,,
81,88.48476423,22.311631351,88.49476423,22.321631351,8,3,,,,,,
82,88.48476423,22.301631351,88.49476423,22.311631351,9,3,,,,,,
83,88.48476423,22.291631351,88.49476423,22.301631351,10,3,,,,,,
84,88.48476423,22.281631351,88.49476423,22.291631351,11,3,,,,,,
85,88.48476423,22.271631351,88.49476423,22.281631351,12,3,,,,,,
86,88.48476423,22.261631351,88.49476423,22.271631351,13,3,,,,,,
87,88.48476423,22.251631351,88.49476423,22.261631351,14,3,,,,,,
88,88.48476423,22.241631351,88.49476423,22.251631351,15,3,,,,,,
89,88.48476423,22.231631351,88.49476423,22.241631351,16,3,,,,,,
90,88.48476423,22.221631351,88.49476423,22.231631351,17,3,,,,,,
91,88.48476423,22.211631351,88.49476423,22.221631351,18,3,,,,,,
92,88.48476423,22.201631351,88.49476423,22.211631351,19,3,,,,,,
93,88.48476423,22.191631351,88.49476423,22.201631351,20,3,,,,,,
94,88.48476423,22.181631351,88.49476423,22.191631351,21,3,,,,,,
95,88.48476423,22.171631351,88.49476423,22.181631351,22,3,,,,,,
96,88.48476423,22.161631351,88.49476423,22.171631351,23,3,,,,,,
97,88.49476423,22.391631351,88.50476423,22.401631351,0,4,,,,,,
98,88.49476423,22.381631351,88.50476423,22.391631351,1,4,,,,,,
99,88.49476423,22.371631351,88.50476423,22.381631351,2,4,,,,,,
100,88.49476423,22.361631351,88.50476423,22.371631351,3,4,,,,,,
101,88.49476423,22.351631351,88.50476423,22.361631351,4,4,,,,,,
102,88.49476423,22.341631351,88.50476423,22.351631351,5,4,,,,,,
103,88.49476423,22.331631351,88.50476423,22.341631351,6,4,,,,,,
104,88.49476423,22.321631351,88.50476423,22.331631351,7,4,,,,,,
105,88.49476423,22.311631351,88.50476423,22.321631351,8,4,,,,,,
106,88.49476423,22.301631351,88.50476423,22.311631351,9,4,,,,,,
107,88.49476423,22.291631351,88.50476423,22.301631351,10,4,,,,,,
108,88.49476423,22.281631351,88.50476423,22.291631351,11,4,,,,,,
109,88.49476423,22.271631351,88.50476423,22.281631351,12,4,,,,,,
110,88.49476423,22.261631351,88.50476423,22.271631351,13,4,,,,,,
111,88.49476423,22.251631351,88.50476423,22.261631351,14,4,,,,,,
112,88.49476423,22.241631351,88.50476423,22.251631351,15,4,,,,,,
113,88.49476423,22.231631351,88.50476423,22.241631351,16,4,,,,,,
114,88.49476423,22.221631351,88.50476423,22.231631351,17,4,,,,,,
115,88.49476423,22.211631351,88.50476423,22.221631351,18,4,,,,,,
116,88.49476423,22.201631351,88.50476423,22.211631351,19,4,,,,,,
117,88.49476423,22.191631351,88.50476423,22.201631351,20,4,,,,,,
118,88.49476423,22.181631351,88.50476423,22.191631351,21,4,,,,,,
119,88.49476423,22.171631351,88.50476423,22.181631351,22,4,,,,,,
120,88.49476423,22.161631351,88.50476423,22.171631351,23,4,,,,,,
121,88.50476423,22.391631351,88.51476423,22.401631351,0,5,,,,,,
122,88.50476423,22.381631351,88.51476423,22.391631351,1,5,-0.191625624828662,829226.989610574,3.84423948503966,37.0791362285343,-149.191623054775,44.1498880946516
123,88.50476423,22.371631351,88.51476423,22.381631351,2,5,-0.186732515996756,829226.981249753,3.84243941376413,37.08184019731,-149.193583457539,44.1485475145492
124,88.50476423,22.361631351,88.51476423,22.371631351,3,5,-0.177391370556682,829226.839012207,3.8382773848351,37.0924944483513,-149.198261849529,44.1439969564604
